court,NOUN,NN,2
refuses,VERB,VBZ,1
lift,VERB,VB,-1
deadline,NOUN,NN,2
stake,NOUN,NN,1
dilution,NOUN,NN,2
Bank,PROPN,NNP,0
surges,VERB,VBZ,-2
surge,VERB,VBZ,-2
report,NOUN,NN,1
Berkshire,ADJ,JJ,0
investment,NOUN,NN,-1
jumps,VERB,VBZ,-2
Berkshire,PROPN,NNP,0
challenges,VERB,VBZ,2
RBI,PROPN,NNP,1
preference,NOUN,NN,1
shares,NOUN,NNS,0
best,ADJ,JJS,-3
nearly,ADV,RB,1
9,NUM,CD,0
High,PROPN,NNP,1
Court,PROPN,NNP,1
Deals,NOUN,NNS,1
Mergers,PROPN,NNPS,2
acquisitions,NOUN,NNS,2
Expert,ADJ,JJ,1
Views,NOUN,NNS,0
surprise,NOUN,NN,1
Governor,PROPN,NNP,1
Urjit,PROPN,NNP,1
Patel,PROPN,NNP,1
rise,VERB,VBP,-2
rise;,VERB,VBP,-2
bail,_,_,2
debt,_,_,3
poor,_,_,3
damage,_,_,1
fire,_,_,3
loss,_,_,1
resignation,_,_,2
fraud,_,_,5
theft,_,_,3
disaster,_,_,4
accident,_,_,2
hacking,_,_,4
investigation,_,_,3
award,_,_,1
attrition,_,_,5
quality,_,_,0
bankruptcy,_,_,7
case,_,_,1
high court,_,_,2
supreme court,_,_,3
bribe,_,_,4
baksheesh,_,_,4
corruption,_,_,4
pervaricator,_,_,4
Faster,_,_,-2
tax,_,_,1
gst,_,_,1
shell company,_,_,3
corrupt,_,_,4
under-the-table,_,_,4
crime,_,_,4
rape,_,_,2
illegal,_,_,4
offence,_,_,3
wrongdoing,_,_,3
arrest,_,_,4
jail,_,_,5
penal,_,_,4
delinquent,_,_,2
disbarment,_,_,5
ghoos,_,_,4
sanction,_,_,4
speed money,_,_,4
grease money,_,_,4
tip off,_,_,4
token money,_,_,3
graft,_,_,5
kickbacks,_,_,3
embezzlement,_,_,6
profiteering,_,_,5
extortion,_,_,6
boost,VERB,VB,-3
divorce,NOUN,NN,4
worry,VERB,VB,2
crisis,NOUN,_,5
committee,NOUN,_,1
scandal,NOUN,_,3
moratorium,NOUN,_,2
gainer,NOUN,_,-2
block,NOUN,_,2
default,NOUN,_,3
denies,VERB,_,2
arrested,VERB,_,4
scam,NOUN,_,5
fine,NOUN,_,4
violations,NOUN,_,4
allegations,NOUN,_,3
ban,NOUN,_,4
deadlock,NOUN,_,2
threatening,VERB,VBG,3
Outcry,VERB,VB,3
distress,NOUN,NN,3
murder,NOUN,NN,6
heinous,ADJ,JJ,3
crimes,NOUN,NNS,4
slumps,VERB,VBZ,2
gains,NOUN,NNS,-3
gainers,NOUN,NNS,-3
Strong,ADJ,JJ,3
war,NOUN,NN,4
miracle,NOUN,NN,-5
haven,NOUN,NN,-2
solution,NOUN,NN,-1
calm,ADJ,JJ,-4
rise,VERB,VB,-4
relief,NOUN,NN-4
fallout,NOUN,NN,4
overcome,VERB,VB,-4
bubble,NOUN,NN,5
Better,ADV,RBR.-3
diversity,NOUN,NN,-2
jumpstart,VERB,VB,-4
